DATE,ENERGY_INDEX
04/1990,67.4636
05/1990,66.0145
06/1990,71.6535
07/1990,76.8376
08/1990,77.3265
09/1990,73.277
10/1990,67.6237
11/1990,68.7675
12/1990,77.9179
01/1991,86.2914
02/1991,77.8027
03/1991,73.6061
04/1991,67.3549
05/1991,69.0228
06/1991,75.0839
07/1991,80.3488
08/1991,79.4052
09/1991,73.8126
10/1991,68.9572
11/1991,72.7156
12/1991,79.7391
01/1992,85.556
02/1992,80.4178
03/1992,74.739
04/1992,69.8367
05/1992,67.3781
06/1992,71.4197
07/1992,77.7263
08/1992,76.7791
09/1992,72.5681
