DATE,ENERGY_INDEX
04/1990,67.4636
05/1990,66.0145
06/1990,71.6535
07/1990,76.8376
08/1990,77.3265
09/1990,73.277
10/1990,67.6237
11/1990,68.7675
12/1990,77.9179
01/1991,86.2914
02/1991,77.8027
03/1991,73.6061
04/1991,67.3549
05/1991,69.0228
06/1991,75.0839
07/1991,80.3488
08/1991,79.4052
09/1991,73.8126
10/1991,68.9572
11/1991,72.7156
12/1991,79.7391
01/1992,85.556
02/1992,80.4178
03/1992,74.739
04/1992,69.8367
05/1992,67.3781
06/1992,71.4197
07/1992,77.7263
08/1992,76.7791
09/1992,72.5681
10/1992,69.2363
11/1992,73.7175
12/1992,84.7818
01/1993,88.2287
02/1993,84.7919
03/1993,79.6885
04/1993,71.2731
05/1993,67.9111
06/1993,74.5503
07/1993,82.3366
08/1993,82.2906
09/1993,74.8323
10/1993,69.8758
11/1993,74.6278
12/1993,84.4669
01/1994,94.4017
02/1994,87.4053
03/1994,79.4751
04/1994,71.1817
05/1994,69.5934
06/1994,78.1988
07/1994,83.5287
08/1994,82.1321
09/1994,75.9181
10/1994,71.4802
11/1994,75.4754
12/1994,85.0772
01/1995,92.7412
02/1995,87.667
03/1995,81.5205
04/1995,74.0457
05/1995,73.5003
06/1995,78.5503
07/1995,86.2425
08/1995,89.8063
09/1995,78.7442
10/1995,73.9353
11/1995,79.8903
12/1995,91.0933
01/1996,99.2688
02/1996,93.1691
03/1996,87.2075
04/1996,77.4715
05/1996,76.9337
06/1996,82.1958
07/1996,86.2321
08/1996,86.824
09/1996,79.4425
10/1996,74.911
11/1996,81.3
12/1996,90.753
01/1997,98.7482
02/1997,90.0486
03/1997,83.2671
04/1997,76.3793
05/1997,74.0777
06/1997,80.0138
07/1997,88.7168
08/1997,88.0487
09/1997,82.1801
10/1997,77.7266
11/1997,82.2802
12/1997,92.3623
01/1998,95.0701
02/1998,88.0838
03/1998,86.8125
04/1998,76.9828
05/1998,78.2652
06/1998,86.7123
07/1998,94.1078
08/1998,93.7954
09/1998,87.7915
10/1998,80.3296
11/1998,81.6742
12/1998,91.9551
01/1999,102.4467
02/1999,91.4671
03/1999,91.0236
04/1999,80.7497
05/1999,79.6373
06/1999,88.1204
07/1999,97.7757
08/1999,96.7014
09/1999,87.4885
10/1999,80.8647
11/1999,82.4395
12/1999,94.7746
01/2000,102.4971
02/2000,94.5218
03/2000,88.3463
04/2000,81.6662
05/2000,84.7235
06/2000,91.3293
07/2000,96.3011
08/2000,99.6734
09/2000,90.9515
10/2000,83.378
11/2000,88.2458
12/2000,102.6901
01/2001,109.3416
02/2001,97.3953
03/2001,93.0564
04/2001,83.1332
05/2001,82.7827
06/2001,90.6648
07/2001,96.3283
08/2001,99.8132
09/2001,88.5136
10/2001,82.9006
11/2001,83.1461
12/2001,93.2796
01/2002,103.2604
02/2002,95.4593
03/2002,93.51
04/2002,86.0517
05/2002,85.5043
06/2002,93.4856
07/2002,102.6936
08/2002,101.9121
09/2002,93.5608
10/2002,87.1293
11/2002,88.8047
12/2002,101.0439
01/2003,110.4292
02/2003,104.0828
03/2003,94.8015
04/2003,85.3124
05/2003,85.7418
06/2003,91.3695
07/2003,102.5243
08/2003,104.7716
09/2003,93.1841
10/2003,86.7534
11/2003,88.828
12/2003,103.8162
01/2004,113.996
02/2004,106.4378
03/2004,95.6626
04/2004,86.9849
05/2004,89.324
06/2004,95.8104
07/2004,102.1007
08/2004,100.4992
09/2004,94.2998
10/2004,87.7732
11/2004,89.8297
12/2004,105.9787
01/2005,111.4496
02/2005,101.9498
03/2005,99.2324
04/2005,86.6793
05/2005,87.3784
06/2005,99.7382
07/2005,108.8005
08/2005,109.9901
09/2005,99.5563
10/2005,90.1695
11/2005,90.6297
12/2005,108.4977
01/2006,104.8128
02/2006,101.631
03/2006,98.6932
04/2006,87.7034
05/2006,90.2388
06/2006,100.7836
07/2006,111.3696
08/2006,111.9898
09/2006,96.1212
10/2006,90.6869
11/2006,92.5922
12/2006,103.3658
01/2007,112.3854
02/2007,112.1298
03/2007,99.469
04/2007,91.045
05/2007,92.3001
06/2007,101.2636
07/2007,107.9356
08/2007,114.5031
09/2007,101.8592
10/2007,93.282
11/2007,94.1475
12/2007,107.0407
01/2008,115.1666
02/2008,108.519
03/2008,100.7093
04/2008,91.2094
05/2008,91.4431
06/2008,104.1756
07/2008,111.08
08/2008,107.8943
09/2008,98.0097
10/2008,91.2397
11/2008,94.0321
12/2008,109.6583
01/2009,117.1041
02/2009,104.6585
03/2009,98.0044
04/2009,88.3217
05/2009,87.7293
06/2009,97.5535
07/2009,104.1673
08/2009,106.0048
09/2009,95.0942
10/2009,89.3811
11/2009,89.4576
12/2009,110.8777
01/2010,119.2473
02/2010,110.7525
03/2010,98.343
04/2010,86.2612
05/2010,90.8459
06/2010,104.4774
07/2010,113.1386
08/2010,113.255
09/2010,100.3372
10/2010,89.0653
11/2010,92.8343
12/2010,114.5367
01/2011,119.7475
02/2011,107.4965
03/2011,99.1848
04/2011,89.3568
05/2011,90.0903
06/2011,102.9273
07/2011,114.9326
08/2011,113.765
09/2011,99.5821
10/2011,90.3241
11/2011,93.7486
12/2011,107.3309
01/2012,111.8351
02/2012,103.3433
03/2012,93.4051
04/2012,87.4539
05/2012,92.7704
06/2012,101.2446
07/2012,113.3866
08/2012,110.1671
09/2012,96.9014
10/2012,90.2609
11/2012,94.2111
12/2012,105.0203
01/2013,115.2323
02/2013,106.4512
03/2013,102.6701
04/2013,90.6136
05/2013,90.7
06/2013,100.6631
07/2013,110.3583
08/2013,108.4228
09/2013,99.3427
10/2013,91.6671
11/2013,96.9845
12/2013,113.3465
01/2014,124.0216
02/2014,112.6796
03/2014,104.4158
04/2014,89.8017
05/2014,91.861
06/2014,101.6422
07/2014,108.633
08/2014,108.3892
09/2014,100.4238
10/2014,92.1366
11/2014,99.1114
12/2014,108.9783
01/2015,119.9317
02/2015,116.1393
03/2015,104.0218
04/2015,89.1544
05/2015,90.695
06/2015,102.8863
07/2015,111.9826
08/2015,110.7643
09/2015,101.7996
10/2015,90.9888
11/2015,92.2113
12/2015,102.3222
01/2016,116.8926
02/2016,105.9614
03/2016,94.2339
04/2016,88.1615
05/2016,89.4711
06/2016,103.4258
07/2016,114.1946
08/2016,115.5015
09/2016,102.2398
10/2016,90.8499
11/2016,92.6032
12/2016,114.0219
01/2017,116.4746
02/2017,99.5393
03/2017,101.0063
04/2017,87.0374
05/2017,90.3591
06/2017,100.4412
07/2017,111.2371
08/2017,107.7583
09/2017,97.0813
10/2017,92.302
11/2017,97.7214
12/2017,117.2377
01/2018,128.9071
02/2018,107.6711
03/2018,104.5716
04/2018,93.4491
05/2018,93.2405
06/2018,103.3083
07/2018,113.3178
08/2018,113.2758
09/2018,101.5656
10/2018,95.3203
11/2018,103.575
12/2018,112.9498
01/2019,123.7687
02/2019,112.9837
03/2019,106.6593
04/2019,88.6631
05/2019,91.9046
06/2019,98.4397
07/2019,112.9469
08/2019,111.6645
09/2019,102.2911
